,text,dominant_topics,dominant_topics_words
181,An emblematic and touristic place in Mexico City.,"[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
182,"On a college trip to Mexico City with Canisius, I visited the heart of the cityâthe ZÃ³calo, which is the modern-day name for the main square. The experience was incredible, especially learning how this bustling plaza sits atop the ruins of the ancient city of Tenochtitlan, the capital of the Aztec Empire. This space, which today is surrounded by the grandeur of colonial-era architecture and governmental buildings, once housed the very center of the Aztec world. Itâs a living testament to Mexicoâs layered history.

As I stood in the square, I couldnât help but feel the weight of what was beneath my feet. Tenochtitlan, which was founded in 1325, was one of the largest cities in the world at its height, sitting on an island in the middle of Lake Texcoco. The Aztecs engineered a sophisticated city with floating gardens (chinampas) and canals that rivaled those of Venice. The location of the ZÃ³calo itself was the site of Templo Mayor, a grand temple dedicated to the gods Huitzilopochtli and Tlaloc. Although the Spaniards destroyed much of it during their conquest in 1521, you can still see remnants of the temple through archaeological excavations, which are visible right off the square.

The energy of the ZÃ³calo is palpableâwhether itâs the musicians playing traditional tunes, the street vendors selling indigenous crafts, or the vibrant political protests that sometimes fill the space. Itâs one of those places where the past and present seem to coexist so naturally. The knowledge that Tenochtitlan was a thriving metropolis, built with precision and spiritual significance, made me appreciate the enduring influence of Aztec culture on modern-day Mexico.

Walking through the nearby Museo del Templo Mayor and seeing artifacts, such as stone carvings, sculptures, and sacrificial altars, brought this history to life even more. I remember staring at a giant stone disc depicting Coyolxauhqui, the goddess dismembered by her brother Huitzilopochtli, in awe of how the Aztecs used art to tell their powerful myths.

Visiting the ZÃ³calo and understanding that it sits on the bones of Tenochtitlan, I realized how much of history can remain hidden beneath the surfaceâboth literally and figuratively. It was a profound experience that made me rethink how I view urban spaces, as every stone and structure seemed to have a story waiting to be uncovered. Itâs a reminder that cities are built on the legacies of civilizations past, and the ZÃ³calo is one of the best places to see those layers right in front of you.","[0, 6, 14]","good, beautiful, place, eat, service, nice, great, amazing, place, food, service, fast, delicious, food, good"
183,"It is fine as always, it's a shame about the shielding in the square.... We long for times when we could enter the national palace.... How sad....",[10],"pretty, negative, cdmx, delivery, positive"
184,"Beautiful area to explore and enjoy a long walk in. We spent some time looking at the little vendor stations that were set up around the square. We also got some cleansings from one of the groups of people that were dancing and cleansing. If you are visiting CDMX, for sure check this place out and if you can read up on the history.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
185,It smells really bad of urine in a hallway where they stupidly installed public restrooms.,"[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
186,"We had a fabulous 4 night stay at this hotel. We came to this hotel with a family of 4. We were greeted upon arrival by Raul and the front desk. The hotel is in a great location and the rooms were always clean everyday by housekeeping. Also, the snack bar was very good with lots of options to choose. Axel and Daniela always greeted us every time we came down for some snacks. They both did a great job providing great service for all of us.","[6, 13]","nice, great, amazing, place, food, city, mexico, center, beautiful, historic"
187,"I visited Mexico City in July and stayed at this wonderful hotel. The rooms were clean, the service was excellent, and the staff was very friendlyâspecial thanks to Ivan, Karina, and Christian. A big plus is that the hotel is located in the historic center, right next to the ZÃ³calo. | Greetings from Slovakia | I visited Mexico City in July and stayed at this wonderful hotel. The rooms were clean, the service was excellent, and the staff was very friendlyâspecial thanks to Ivan, Karina, and Christian. A big plus is that the hotel is located in the historic center, right next to the ZÃ³calo. | Greetings from Slovakia","[0, 6, 14]","good, beautiful, place, eat, service, nice, great, amazing, place, food, service, fast, delicious, food, good"
188,"Every time I come to this hotel, the service and the little details get better and better. First, the location is at the heart of the city, el Zocalo. Walk to the Templo Mayor, the main cathedral, the excavations on Guatemala street and much more. So much history and culture.||This hotel has the best view from its breakfast terrace. The breakfast a buffet with the best Mexican cuisine has to offer. And they haves bar where all items with a few exception are free. They have sandwiches, pizza, fruit cups, espresso coffees and all sorts of drinks. But the best is the people and all the small details. ||My birthday was during the stay and as I walked in that night to the room I found several balloons, a great birthday card and a delicious chocolate cake. ||I canât say enough about this hotel. I would not come to any other hotel in CDMX.||Thank you everyone at Zocalo Central for al yet another wonderful stay.","[0, 6]","good, beautiful, place, eat, service, nice, great, amazing, place, food"
189,"Our family experience was fabulous! From the greeting when checking in, to the water provided daily on every level, to the over the top service at the rooftop restaurant and quality of the food!","[0, 6]","good, beautiful, place, eat, service, nice, great, amazing, place, food"
190,"Super nice hotel. Axel and Daniela, the bar staff, are lovely... incredible housekeeping and reception. I'm threatening to return.",[],
191,Antonio was excellent with us and always made sure we were okay. Very friendly person! The hotel had very good service!,"[2, 5, 6]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food"
192,"Great place for a cocktail, great view. Mojito 280 mxn - no problems. but 189mxn for a glass of flat water - no suggestion that it was not free. Buyer beware!",[13],"city, mexico, center, beautiful, historic"
193,"This is the 2nd time we stay at Central Hotel on 5 de Mayo Street. It is our pleasure to return to this hotel, because they have EXCELLENT SERVICE!! ð¯% |From the bellboys at the entrance to the maintenance service!|Their customer service is excellent from the smallest to the most essential!|The cleanliness is super excellent in the rooms and throughout the hotel in the central cafe and the terrace restaurant!!|What fascinated us the most is the extra dedication service they have at the central cafe, especially young Axel along with his partner Michelle!! I would also like to give a big thank you, especially at the reception, to Miss LeÃ±a and her partner IvÃ¡n. A SUPER special thank you to Miss Nancy, the hotel manager, for her special attention to my parents, because the extraordinary welcoming touch for their 70th anniversary was very beautiful!! Thank you very much for all your attention to all the workers at the Central Hotel!! Sincerely, Rosa G","[0, 6, 7]","good, beautiful, place, eat, service, nice, great, amazing, place, food, food, service, bad, tacos, order"
